Pose,Image_Name,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk
BaddhaKonasana,BK_35.jpg,203.7132561166473,162.6733702937249,10.427279542437244,8.695972901511617,343.0394968267284,14.941559607892833,302.61320600537715,61.21913939843642,48.24314034770336,65.79652976545964,292.53867363516105,320.42232086274714,349.34268906720735,4.13822030863312
BaddhaKonasana,BK_36.jpg,204.25339141077663,151.31045374073432,11.773440371286867,11.828570199481396,345.6392479990364,14.884907969890765,307.7790335474915,51.580346758547,51.891016464289976,71.87621603165246,287.3283905809225,312.8385467185069,6.352261638192516,22.66455743469611
BaddhaKonasana,BK_37.jpg,183.03477782339263,182.54721562665242,353.6789463987164,4.832755987134935,347.1234850811826,19.77455841136746,299.8894304182391,40.980417512162546,37.52826607082575,55.96613202717522,295.64859327102454,299.9836616272114,319.76364169072616,339.83078552982175
BaddhaKonasana,BK_38.jpg,203.66975403787745,147.8815117297856,1.857122319531442,2.2625641519645594,330.7136807855039,28.3266554241072,311.46103741184,44.25547298608241,39.28709362617427,89.74225863650982,267.92084762789415,344.3297017557974,317.97882007588737,58.094766406301325
BaddhaKonasana,BK_39.jpeg,186.44128230468814,175.56488555468403,1.28921932863071,2.030002961617817,343.4148372597089,18.475475048544396,299.22277121094476,53.36402297792928,38.5021224508929,74.02086166061945,291.2932841436306,311.74382216996054,347.2562445641053,12.379113002043415
BaddhaKonasana,BK_4.jpg,195.50957139444418,163.6153148201864,12.163324990637388,11.069537120347062,341.7493891121608,17.21021032226214,297.4738477023914,63.85052945275073,55.309679975056355,85.10568164124595,274.9738349966911,305.8969118687768,39.60797010572425,332.37048326487707
BaddhaKonasana,BK_41.jpg,189.32622797582013,160.15690317286973,6.797487852330587,9.30255410119407,341.62852230006035,16.51485340271042,304.32773384861196,56.589803318053164,51.3556138745168,88.63725189139454,272.5541867163318,315.3274008908444,15.847704981926857,7.2349286439449
BaddhaKonasana,BK_42.jpg,191.8020833682508,169.23895773535833,5.517401940123826,4.321367264995594,342.32620136523,17.47033813135238,306.19537494201376,48.4302422047597,44.112328445148535,67.66208010230358,292.02208465958023,309.0929852352352,357.7414134068313,18.365047540588076
BaddhaKonasana,BK_44.png,196.5059195178232,149.3314832978836,12.688057033673017,14.123186920939597,336.36350471654634,18.74504501634185,306.5468370176757,59.04014990955902,57.39938861444776,77.57665924966507,282.21079554734973,321.4608255130341,14.689690420972477,12.479071801927631
BaddhaKonasana,BK_45.png,270.0682831285222,93.0604952599693,41.96598626314239,41.272498675346675,346.3804457638671,16.712067446228026,295.54392299566643,59.383612362885756,89.83892940216835,76.14044311137606,278.9715658569539,315.94505982783727,358.7650249707031,0.41188083937011366
