Pose,Image_Name,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk,Label
Triangle,triangle48.jpg,165.94110102534083,196.260204708312,68.78474554131024,130.06078445787378,176.7819387162058,174.99303115021152,282.5931634649106,85.78689212987122,184.927109947649,70.26483616196114,165.76747585847667,330.1584985931056,6.227572689818526,182.60596133512,1
Triangle,triangle49.jpg,171.5004169757301,178.2531581229403,62.12364965335511,132.11137845015702,171.62574097240096,176.9342630034466,298.24336982774906,68.82868513823728,186.24594861208,78.49518467374118,152.44215497169952,319.20315737872465,5.156285410476283,173.6431491912399,1
Triangle,triangle5.jpg,179.48383577023515,177.51044707800085,90.29533645394706,122.83280180623876,169.3028907373592,181.50743575877496,293.9019377630792,75.63064528815217,190.15635718381333,64.2484244967349,146.90830006131756,327.3390872783262,8.841814560191676,175.99519843354236,1
Triangle,triangle50.jpg,156.09794958898917,191.3099324740202,71.51854487275152,123.0706778227617,177.60366726586787,172.0818416095091,273.59204799257066,93.96465472285612,177.79740183823418,54.73895089823954,165.58112490076252,316.2492426786972,359.14490260373327,185.25955495452715,1
Triangle,triangle51.jpg,182.20259816176585,183.1221304621157,82.50414236027015,127.63323074183008,179.60594995767286,174.32164077162457,301.356752882544,66.72739421834848,188.2493441789063,63.3813846943886,143.36093855833042,330.9925335122649,3.8959378255639288,164.12539099995985,1
Triangle,triangle52.jpg,180.0,187.69605172201656,116.28826212490024,95.81897090139456,191.40798562332765,171.78868468887484,295.5732022571882,73.30075576600638,176.74805439963612,40.15947420220512,139.10404070586804,322.33111538628594,9.276461248381896,172.65112015328168,1
Triangle,triangle53.jpg,173.38653951768526,180.0,107.34112889497266,110.04524942542102,173.78077031120884,165.96375653207352,305.2043549891459,63.80380067696223,189.66122873780083,50.138305502130464,130.6012946450045,320.1944289077348,10.680333865609944,156.04020482543928,1
Triangle,triangle54.jpg,177.70938995736148,184.63546342690265,98.01423642612748,102.97021484300302,169.14358665193777,182.8803775528476,84.7058162617078,269.55367044261084,172.87498365109818,134.33269164416492,71.67717584708282,317.1395076362312,87.59286385307107,112.14194809445333,1
Triangle,triangle55.jpg,172.31601817026603,195.56151032532847,81.79985394050121,112.1730427748324,171.57766605936726,171.0866507001338,286.28932743816,81.30882256559158,179.27842883658442,57.96378775022498,153.71892369134616,328.14486761755074,3.301865674435005,177.12497321978455,1
Triangle,triangle56.jpg,172.6725880978088,175.42607874009914,113.9400920640181,111.46071238384488,180.8171087621798,172.22236210987066,296.4106390463768,68.55473470319083,189.18457057856148,43.58198104485136,138.89217433202754,325.1755108430432,9.699631871521223,167.37621931869566,1
