Pose,Image_Name,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk,Label,left_elbow_angle_corrected,right_elbow_angle_corrected,left_shoulder_angle_corrected,right_shoulder_angle_corrected,left_knee_angle_corrected,right_knee_angle_corrected,angle_for_ardhaChandrasana1_corrected,angle_for_ardhaChandrasana2_corrected,hand_angle_corrected,left_hip_angle_corrected,right_hip_angle_corrected,neck_angle_uk_corrected,left_wrist_angle_bk_corrected,right_wrist_angle_bk_corrected
Natarajasana,istockphoto-1155992916-612x612.jpg,170.0,137.27197675661472,160.0,160.0,170.0,170.0,177.12464411093026,190.07705792863268,162.68235661693325,160.0,89.08743492721027,70.0,330.0,85.54343021620166,0,181.3336914826864,167.97180428960954,201.74273419231451,201.28676037530113,157.49831188848088,189.64999293004752,156.03220934720954,213.89982729451202,106.72749168839121,186.1323500808131,143.50298830941236,157.8577779199934,173.1112492366195,160.73256468908087
Natarajasana,istockphoto-1157204809-612x612.jpg,170.0,170.0,136.95782052894108,71.17226744203289,158.01304835321693,170.0,216.11191904462623,147.68141065141123,170.59496510208214,131.6866345670404,160.0,266.46832990418795,106.13645450585598,330.0,0,171.26354115758724,187.91125079352662,114.9082822306565,78.59238794270593,174.00714601868575,187.3323811615822,223.90925714109312,167.49169983100876,188.8167948527366,93.91045618506207,245.27493353725765,307.8477797900789,105.84603910579337,238.01591083634398
Natarajasana,istockphoto-1158065542-612x612.jpg,122.58700168949002,119.04244472182944,160.0,32.75512287700911,122.05676939143244,170.0,224.0122663674381,135.38517447953328,153.54416610213295,105.27232020663136,160.0,297.0509026342262,183.52445436744148,330.0,0,232.63130021378984,226.98204111794314,83.33139601853608,85.74005296693558,193.91152128104898,174.65513221678987,236.66726630259785,158.28822732606957,155.8091913715566,165.82216951325745,237.42673459508777,298.003773856398,142.91186300682978,211.9588348614303
Natarajasana,istockphoto-1193284228-612x612.jpg,161.55322686726134,170.0,148.88685799061838,59.01476199463369,170.0,170.0,211.05207383388145,146.82160498852934,166.33067048135308,120.00850581532632,160.0,277.0821789962432,119.37270442561304,330.0,0,170.6288237717949,188.8930490211528,110.41243551303924,81.27355892412278,174.9260267213617,189.55116884817465,224.3920961782217,171.5344455149227,193.73503941820826,147.0500664758021,240.6398036534628,299.07240278777124,117.37037089303679,235.77836692744327
Natarajasana,istockphoto-1209096210-612x612.jpg,159.6229552163124,170.0,50.59088120781369,160.0,112.72574407753656,170.0,192.25210223923145,188.93502873689093,213.5944241915213,92.7219045722456,160.0,300.0,330.0,245.2432014535466,0,177.75515379892556,203.25248700170636,199.01300133931653,124.22824897826266,148.6463261803851,185.36497773013392,198.37350003269614,183.98268780241568,214.87745622566027,137.30436773669751,232.55462371937338,325.21818077483584,136.84630568152593,183.36747196274595
Natarajasana,istockphoto-121493252-612x612.jpg,170.0,170.0,52.7575587287679,160.0,102.37429777564734,158.44928393491062,157.76284566974564,169.31884691231716,239.0266771872158,60.31014766573868,160.0,300.0,33.17612510440004,259.1134936306323,0,179.50052430997658,186.15879525163294,71.7067819891001,134.14207258205013,132.77100960454945,186.50085600582867,203.1060964779996,188.8009804946625,201.02138902948047,94.9841133144228,227.0353562237174,324.0097716263112,136.52589320141314,166.43856216716068
Natarajasana,istockphoto-1271137226-612x612.jpg,159.439365306488,170.0,116.18592485243188,133.70024795710594,131.62735138854913,170.0,184.4549266315592,151.71800473704778,208.08211655052912,151.37072104551885,160.0,288.2400183401716,131.04147059350612,330.0,0,175.48613352145549,185.07594770182402,70.74923080263154,119.12027786567339,177.00601530431678,184.21236250619924,217.32574794896382,189.47375274882387,205.35576799442285,154.53290637785423,263.8172972339615,312.5740421345232,146.53595044114635,211.22760419114513
Natarajasana,istockphoto-1301578266-612x612.jpg,156.4715865531274,170.0,160.0,73.38511850943397,155.7810549919264,170.0,189.57972048219125,174.81975551633872,199.6219677797244,125.17477460331096,160.0,247.24359443273912,118.59812536247247,330.0,0,170.38737885805375,186.12846419830274,120.80057037385765,80.06781830282787,175.41254005301488,191.2139233272477,202.69789626942045,187.2008823201092,212.13128258936274,137.52591552751406,249.28698384944445,307.0932330865123,136.71766627862695,220.93784204048623
Natarajasana,istockphoto-1309770755-612x612.jpg,170.0,104.41167512709806,160.0,160.0,170.0,150.7503095103024,201.71807610088004,262.5751250164124,167.89674499347944,160.0,160.0,103.39385057718036,303.5692080647103,160.0800002363717,0,233.1347374940084,189.2081858818243,197.37221236559574,169.6103602677595,161.13734644724252,199.18552930585201,255.46736022917102,176.88386024284551,144.13827672504942,179.70712284417922,205.06252655122066,316.2780349003513,165.94913012448157,210.9228161082077
Natarajasana,istockphoto-1327649332-612x612.jpg,170.0,170.0,73.13981831414095,160.0,71.345251778265,170.0,220.58070069036148,136.57608120097663,234.7726611054216,111.8564631419952,160.0,300.0,29.337272220413976,214.7526962192255,0,180.91455089419262,193.8441782838516,69.16173313852377,161.91354534072548,119.20917140488015,182.90098507299595,230.55473537295165,166.8130208580753,224.07361529218008,93.36881858308689,205.04160521496502,325.9273508033349,40.55072809795564,202.67501001767488
Natarajasana,istockphoto-136967348-612x612.jpg,156.36379105106147,170.0,148.95365760549154,83.19043746144197,163.79203290583737,170.0,214.854754172505,133.92793183096234,158.60591903681933,133.02116979495167,160.0,297.2939575247836,74.4774195099523,330.0,0,173.6267663410795,192.0325005868939,108.72223289412668,80.43392335429935,170.9111994604428,179.75041295461824,232.933425054408,166.64046628991056,193.33289875568607,81.44495808084675,242.86115981329505,307.7498671728503,134.14936442798563,227.1973196159682
Natarajasana,istockphoto-1389437438-612x612.jpg,170.0,167.5538811911453,30.12770008275228,155.8187941347858,62.93102064413587,139.45308797560935,205.80192435080164,130.71762842079767,246.00351334648985,140.4710506182143,160.0,300.0,0.0,243.1850763399894,0,245.17998637380208,191.23335313265238,79.26107173929057,62.79860253305937,129.8352491291766,162.22354881470966,230.52222380892505,186.1666774006914,146.4878728689339,88.42109848158312,252.0784943315601,324.7371510463735,66.00312812059165,191.62942527588132
